"ID","nome_pq","class_area_verde","categoria_area_verde","area_pq","cd_coord_x","cd_coord_y"
1,"CLUBE DO CHUVISCO","Parque Municipal Proposto: em Implantação","Urbano",37050.97,330407.788125,7384976.039375
2,"DAS NEBULOSAS","Parque Municipal Proposto: em Implantação","Urbano",61464.02,350630.408181818,7387856.64272727
5,"JARDIM PRAINHA","Parque Municipal Proposto: em Implantação","Urbano",91649.18,331390.157368421,7372023.82947368
6,"LINEAR AGUA PODRE (ESMERALDA)","Parque Municipal Proposto: em Implantação","Linear",88635.86,321007.406923077,7391578.47846154
8,"LINEAR FEITICO DA VILA FASE 1","Parque Municipal Proposto: em Implantação","Linear",38239.28,316904.194545455,7379388.67090909
8,"LINEAR FEITICO DA VILA FASE 2","Parque Municipal Proposto: em Planejamento","Linear",6254.61,316617.82,7379422.07
14,"LINEAR RIBEIRAO ORATORIO FASE 1","Parque Municipal Proposto: em Implantação","Linear",30850.87,346748.204545455,7386539.59090909
14,"LINEAR RIBEIRAO ORATORIO FASE 2","Parque Municipal Proposto: em Planejamento","Linear",1045730.39,346193.84516129,7387304.59184332
15,"ARISTOCRATAS","Parque Municipal Proposto: em Implantação","Linear",34946.11,329513.94,7371566.55538462
15,"ARISTOCRATAS_EXPANSAO","Parque Municipal Proposto: em Planejamento","Urbano",39610.84,329529.368333333,7371790.11666667
16,"ACLIMACAO","Parque Municipal Existente","Urbano",136440.73,333809.9,7391989.98
17,"ALFREDO VOLPI","Parque Municipal Existente","Urbano",135857.99,326310.946,7390357.464
18,"ALTOS DA BARONESA","Parque Municipal Existente","Urbano",23610.65,321203.31,7379110.9375
19,"AMERICA","Parque Municipal Existente","Linear",10911.84,327381.62,7374075.8025
20,"AREA PRESERVACAO SAVOY CITY","Parque Municipal Existente","Urbano",10482.26,348134.46,7392845.55
21,"BARRAGEM DE GUARAPIRANGA","Parque Municipal Existente","Natural",291167.7,324544.063,7380891.314
22,"BENEMERITO JOSE BRAS","Parque Municipal Existente","Linear",21963.15,334911.053448276,7394903.30758621
23,"BUENOS AIRES","Parque Municipal Existente","Urbano",25099.58,330618.253333333,7395139.55
24,"BURLE MARX","Parque Municipal Existente","Urbano",180549.13,324290.302,7385502.668
26,"CANTINHO DO CEU FASE 1","Parque Municipal Existente","Urbano",47679.54,330943.892105263,7372567.81736842
26,"CANTINHO DO CEU FASE 2","Parque Municipal Proposto: em Implantação","Linear",77901,330774.533157895,7372933.28210526
26,"CANTINHO DO CEU FASE 3","Parque Municipal Proposto: em Implantação","Linear",203657.25,331260.203414634,7372878.58756098
26,"CANTINHO DO CEU FASE 4","Parque Municipal Proposto: em Implantação","Linear",79643.84,331095.284166667,7373597.03805556
26,"CANTINHO DO CEU FASE 5","Parque Municipal Proposto: em Implantação","Linear",57696.69,330542.96,7373830.3775
26,"CANTINHO DO CEU FASE 6","Parque Municipal Proposto: em Implantação","Linear",46693.41,330762.073,7374283.0325
