"ID","classe_11","classe_13","classe_14","classe_7","classe_8","classe_9","classe_5","classe_15","classe_2","classe_3","classe_10","classe_12","classe_1","classe_4","classe_6"
1,916772038,3042380052,596520482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,329445283,3523032084,438867555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2780698342,11013675072,NA,1275396866,128697923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1154647565,8315828587,4847154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,761755511,15763025203,85702672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,8195576098,14956980228,1828331796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1521505819,4191636706,1085775004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,13662365486,403895163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,950843434,12273208,NA,NA,13655549147,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1130315097,493769661,NA,NA,NA,1888454917,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,926239078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,1056338122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,35044673441,47999538,4449084216,1176948397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,569502609,1058163192,280517488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,3386434817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,560803845,200796204390,17357881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,10810774661,14489800655,528451484,21344379966,3525933666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,1664341724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2221813299,20714952382,161621098,774467080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,8374581639,10479045420,2958440643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,4536042505,21191765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,6404556436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,707517607,25887799734,410160489,1065696224,108013598,NA,337918110,NA,NA,NA,NA,NA,NA,NA,NA
34,46687329,66315921228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,5151733734,NA,NA,NA,16180619655,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,33767308002,425441820,NA,NA,NA,NA,NA,6136617098,20435040356,NA,NA,NA,NA,NA,NA
37,1844670890,4437300644,22289616,NA,NA,NA,NA,NA,12567193709,927116952,NA,NA,NA,NA,NA
38,52406443426,30649271378,151068570,549612058,NA,14831655937,NA,77064220543,12734612888,2853149066,267338051,1294052265,NA,NA,NA
39,NA,222665978632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,11348700241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,6578349044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,1879138297,9646441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1673696575,27106796777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,2580118113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,12775290003,1277972260,257934038,NA,NA,NA,NA,4715822084,7220445257,7063525399,NA,NA,NA,NA,NA
47,548080752,9703444195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,62764274035,NA,NA,NA,3415601023,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,11492320307,97084033662,321738889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,4768490443,21153816361,608473708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,41797559,3427653831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,21501598876,NA,549609104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,16635522665,6480354135,1219820445,NA,NA,1152974576,NA,NA,NA,4791495390,NA,NA,NA,NA,NA
57,3975733893,2133417922,486069485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,7107178706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,451106738,1073097424,NA,NA,NA,6986585501,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,1992341960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,292226690,42717636928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,2319673382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,21021280959,1852593782,96523602,NA,NA,NA,NA,NA,NA,NA,NA,1285915645,NA,NA,NA
66,3502292856,893701976,160352713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,3731894061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,245496894074,124777052060,5331851568,237682077298,2872636762,40409095890,9229531291,34926454772,30904343225,12279355003,5455275793,20860851597,NA,NA,NA
80,357399543,4181912410,43485148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,1760683809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,705952375,3655982540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,960492312,4318364975,119599915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,3393529324,1849430138,46202824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,1445321484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,3267997201,271811597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,3642381595,39781240158,28187594,41567586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,513333181,2410474758,178324287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,147058790,325052321,13155217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,354915225,23778080592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,40792303991,11064323728,4609453593,18269995705,273185922,NA,NA,NA,NA,NA,1745106248,NA,NA,NA,NA
123,NA,16179329779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,11619207648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,8613535816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3112169570,7890169953,855308230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,10062590593,11137351662,125151993,NA,NA,NA,NA,NA,NA,NA,16074776516,NA,NA,NA,NA
129,NA,3845049769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
