"ID","area_pq","cd_coord_x","cd_coord_y"
1,37050.97,330407.788125,7384976.039375
2,61464.02,350630.408181818,7387856.64272727
5,91649.18,331390.157368421,7372023.82947368
6,88635.86,321007.406923077,7391578.47846154
8,44493.89,316761.007272727,7379405.37045455
14,1076581.26,346471.024853372,7386922.0913762
15,74556.95,329521.654166667,7371678.33602564
16,136440.73,333809.9,7391989.98
17,135857.99,326310.946,7390357.464
18,23610.65,321203.31,7379110.9375
19,10911.84,327381.62,7374075.8025
20,10482.26,348134.46,7392845.55
21,291167.7,324544.063,7380891.314
22,21963.15,334911.053448276,7394903.30758621
23,25099.58,330618.253333333,7395139.55
24,180549.13,324290.302,7385502.668
26,513271.73,330896.490974076,7373348.35584837
27,12590.96,333360.96,7389530.49
28,95014.5,325550.33125,7376421.22
30,270102.45,341114.232692308,7393807.27230769
31,39798.55,357227.125,7397930.18
32,61392.38,354268.96,7399596.02
33,130075.91,323620.5975,7399692.20125
34,51000.93,316792.445,7390330.0425
35,47787.78,320429.795,7393400.77
36,118469.35,357871.447142857,7389899.38571429
37,171229.21,356718.728235294,7390074.52647059
38,1476124.5,350704.922786885,7392131.93459016
39,34230.14,328074.56,7383835.06
41,16675.55,321170.27,7387338.39
42,33589.5,357139.69,7399939.5
43,17646.29,321618.33,7393850.62333333
44,80284.66,340125.705,7390682.6725
45,5593.85,349782.885,7401905.575
46,304985.24,353423.1845,7387457.31
47,69653.53,328302.345,7374649.55
49,146699.77,323298.555,7380306.685
52,1312034.39,330766.460684931,7390399.84616438
53,208751.16,335707.673494398,7391050.41982493
54,35356.92,323528.372857143,7402280.77428571
55,66886.56,325761.5775,7378013.76
56,370678.89,352513.378181818,7387318.1669697
57,76631.62,328337.213508772,7397899.36491228
58,26010.57,323788.79,7400856.1
59,75561.61,321026.02,7378769.214
60,14215.29,356574.93,7396170.86
61,67129.46,322662.255,7397835.7
62,15469.48,332417.79,7385068.58
63,257931.99,355290.609728507,7399536.70052036
66,63565.67,342062.47,7396229.925625
76,16437,342088.09,7393876.87666667
79,3017340.21,324314.294864404,7370168.21807199
80,39399.08,322988.114090909,7407061.76909091
82,8396.83,330188.004,7386298.768
88,18955.77,343853.330909091,7392140.56909091
94,74205.89,358282.289183673,7400023.4
109,52388.74,349103.1356,7400400.7472
115,19052.97,324596.94,7363851.96666667
116,40211.59,350931.015,7395582.63625
117,26622.3,324791.575714286,7374617.45857143
118,34392.23,320710.973571429,7390723.48142857
119,12090.54,344429.514285714,7390521.20928571
120,189831.76,343280.48,7398713.065625
122,1092230.46,355676.859841022,7402219.57899594
123,22965.94,335852.81,7403812.52
124,29672.77,323451.77,7390809.95
126,102727.16,333174.05,7396408.92428571
127,116094.19,327663.976551724,7390378.25517241
128,191657.62,318318.994,7377115.392
129,30464.27,330672.07,7382108.29
134,4794445.01,324599.273866667,7365831.41924444
140,1931476.42,331490.214523809,7367222.39857143
143,4485859.82,350942.750735294,7390631.24941176
151,3730789.68,319982.70990566,7369046.12933962
154,4209829.15,328880.223714286,7366619.39794286
160,613030.02,325580.723168317,7375804.2839604
161,73986.47,359977.848571429,7399326.90142857
164,366905.89,323545.207368421,7406784.98605263
166,98114.59,339330.12,7397077.59
170,7567.83,330669.355,7393438.055
171,89312.99,323812.1,7391130.44142857
172,36564.23,356758.4625,7397857.3625
173,211496.81,320783.736521739,7390052.32913043
174,33217.78,352661.333333333,7394563.05333333
175,15079.24,326490,7389735.65
176,36851.91,324309.24,7402170.55
177,37495.43,359573.746,7400313.438
178,136040.92,319147.8,7381753.455
179,76388.22,322622.708571429,7399998.13857143
180,332288.2,351670.188865546,7386327.93134454
181,27789.16,335812.72,7404325.725
182,23560.77,322567.63,7406141.74
184,83187.71,332306.022777778,7378507.59388889
185,26795.72,325854.81,7384516.04
188,69371.86,330401.496153846,7371230.44769231
190,75411.06,335557.58375,7396176.675
193,54811.69,337015.314444444,7398899.87777778
194,13841.14,326343.847692308,7393008.26307692
195,724784.08,338860.787095238,7395377.52840476
197,85076.06,336957.784666667,7398761.29
198,172880.32,350953.707282051,7400166.83517949
199,6397.19,346526,7400957.71
200,280816.71,346665.803436692,7388759.73662791
202,2313.11,328910.785,7394447.875
204,9599793.35,318120.572381001,7409313.51861213
205,186089.97,318773.22,7409211.835
207,104689.77,320891.749615385,7402900.62923077
209,295637.63,355115.673636364,7392235.68181818
210,2582510.37,322330.30887931,7368319.98646552
212,1532319.47,320290.236504065,7408904.44382114
213,441256.42,332982.106071429,7378575.62464286
214,17230.79,340634.1,7391384.64
215,2181453.97,339517.958024691,7411085.13654321
220,1615403.32,332627.555517241,7368976.32390805
222,450318.74,336729.635744681,7407717.25255319
223,8286.39,352607.392,7384769.934
227,6781.23,344382.27,7390648.91
228,902414.32,349545.3212,7391421.254
229,2897262.57,331881.656818182,7364775.88893939
230,415204.52,316370.208333333,7406806.3825
231,398650.69,344120.500344828,7393171.40413793
232,21698.25,355907.7975,7396933.0325
233,146089.27,321948.2025,7389075.89083333
234,13762.04,322201.8575,7388579.925
235,190226.11,349660.187142857,7388962.02321429
236,35636.71,324532.103333333,7391972.75
237,3266643.46,317494.977892625,7376973.19481121
