"ID","riqueza"
1,14
2,NA
5,48
6,56
8,34
14,NA
15,36
16,91
17,89
18,26
19,NA
20,NA
21,61
22,11
23,58
24,87
26,44
27,NA
28,122
30,61
31,33
32,56
33,132
34,79
35,22
36,94
37,33
38,150
39,26
41,32
42,NA
43,16
44,40
45,21
46,39
47,42
49,68
52,223
53,79
54,42
55,110
56,43
57,NA
58,54
59,64
60,NA
61,28
62,43
63,18
66,12
76,NA
79,NA
80,NA
82,NA
88,13
94,NA
109,12
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
122,NA
123,NA
124,NA
126,86
127,46
128,NA
129,NA
134,NA
140,NA
143,NA
151,NA
154,NA
160,NA
161,30
164,NA
166,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
184,NA
185,NA
188,NA
190,NA
193,NA
194,NA
195,NA
197,NA
198,38
199,NA
200,24
202,NA
204,NA
205,NA
207,NA
209,NA
210,NA
212,NA
213,NA
214,NA
215,NA
220,NA
222,NA
223,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,63
234,NA
235,NA
236,NA
237,NA
239,NA
240,NA
242,33
243,NA
244,NA
245,NA
246,NA
248,NA
249,NA
250,NA
251,NA
253,NA
255,NA
256,57
262,NA
263,NA
264,NA
266,NA
267,NA
278,NA
280,NA
281,NA
285,NA
286,NA
288,NA
289,NA
290,NA
291,NA
295,NA
296,NA
297,NA
308,NA
309,NA
310,NA
311,NA
312,NA
316,NA
344,NA
357,NA
358,NA
359,NA
360,NA
361,NA
365,NA
366,NA
367,NA
374,NA
375,NA
376,NA
386,64
387,NA
388,NA
402,NA
405,NA
408,NA
410,28
416,NA
417,10
419,90
421,NA
434,32
441,32
443,NA
444,NA
448,NA
449,NA
450,NA
451,NA
458,NA
459,NA
460,NA
462,NA
463,NA
464,NA
466,NA
469,NA
473,NA
475,21
476,NA
477,NA
478,NA
482,NA
483,NA
484,NA
485,NA
486,NA
488,NA
489,NA
490,NA
491,NA
492,NA
495,NA
496,NA
497,NA
498,NA
500,NA
501,NA
