"parque_id","nome_parque","classificacao_area_verde","area_m2","categoria_area_verde"
1,"ECOLOGICO PROFESSORA LYDIA NATALIZIO DIOGO","Parque Municipal Existente",80284.66,"Urbano"
2,"ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 2","Parque Municipal Existente",236795.44,"Linear"
3,"LINEAR RIBEIRAO ORATORIO FASE 2","Parque Municipal Proposto: em Planejamento",1045730.39,"Linear"
4,"SAO LUCAS / LINHAS CORRENTE","Parque Municipal Proposto: em Planejamento",180355.13,"Urbano"
5,"VILA CALIFORNIA","Parque Municipal Proposto: em Planejamento",25334.94,"Urbano"
6,"CASA MODERNISTA","Parque Municipal Existente",12590.96,"Urbano"
7,"IBIRAPUERA","Parque Municipal Existente",1312034.39,"Urbano"
8,"VILA GUILHERME","Parque Municipal Existente",85076.06,"Urbano"
9,"TENENTE BRIGADEIRO ROBERTO FARIA LIMA","Parque Municipal Existente",39119.2,"Urbano"
10,"TROTE","Parque Municipal Existente",54811.69,"Urbano"
11,"OYENO","Parque Municipal Proposto: em Planejamento",146265.39,"Urbano"
12,"LINEAR CABUCU DE CIMA","Parque Municipal Proposto: em Implantação",34538.89,"Linear"
13,"ACLIMACAO","Parque Municipal Existente",136440.73,"Urbano"
14,"BUENOS AIRES","Parque Municipal Existente",25099.58,"Urbano"
15,"LUZ","Parque Municipal Existente",102727.16,"Urbano"
16,"AUGUSTA","Parque Municipal Proposto: em Planejamento",24510.64,"Urbano"
17,"LINEAR RIBEIRAO ORATORIO FASE 1","Parque Municipal Proposto: em Implantação",30850.87,"Linear"
18,"LINEAR TABOAO","Parque Municipal Existente",12090.54,"Linear"
19,"ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 1","Parque Municipal Existente",44021.27,"Urbano"
20,"CAMPO DA PRIMAVERA","Parque Municipal Proposto: em Planejamento",6781.23,"Urbano"
21,"FAZENDA DA JUTA","Parque Municipal Proposto: em Planejamento",66194.25,"Urbano"
22,"MASCARENHAS DE MORAES","Parque Municipal Proposto: em Planejamento",25012.46,"Urbano"
23,"ROSA DA CHINA","Parque Municipal Proposto: em Implantação",29746.66,"Urbano"
24,"VILA JACUI (JARDIM PRIMAVERA) FASE 2","Parque Municipal Proposto: em Implantação",127447.08,"Urbano"
25,"LINEAR VARZEA DO TIETE - NUCLEO ANTONIO ARNALDO/VILA JACUI","Parque Municipal Existente",137394.72,"Linear"
26,"VILA JACUI (JARDIM PRIMAVERA) FASE 1","Parque Municipal Existente",27303.12,"Linear"
27,"LINEAR LAJEADO II","Parque Municipal Proposto: em Planejamento",238332.81,"Linear"
28,"LINEAR VARZEA DO TIETE - NUCLEO ITAIM BIACICA","Parque Municipal Proposto: em Planejamento",672825.96,"Linear"
29,"LINEAR VARZEA DO TIETE - NUCLEO JARDIM ROMANO","Parque Municipal Proposto: em Planejamento",282009.78,"Linear"
30,"PONTE RASA","Parque Municipal Proposto: em Planejamento",637384.93,"Linear"
31,"TRES PONTES","Parque Municipal Proposto: em Planejamento",267129.05,"Linear"
32,"VILA JACUI (JARDIM PRIMAVERA) FASE 3","Parque Municipal Proposto: em Implantação",18130.12,"Linear"
33,"ECOLOGICO DO TIETE","Parque Estadual Urbano",10968981.08,"Urbano"
34,"SAO MATEUS","Parque Municipal Proposto: em Planejamento",486848.96,"Linear"
35,"DAS NEBULOSAS","Parque Municipal Proposto: em Implantação",61464.02,"Urbano"
36,"GUABIROBEIRA","Parque Municipal Existente",304985.24,"Urbano"
37,"JARDIM DA CONQUISTA","Parque Municipal Existente",370678.89,"Urbano"
38,"NATURAL MUNICIPAL FAZENDA DO CARMO","Parque Municipal Existente",4485859.82,"Natural"
39,"SAPOPEMBA (ATERRO)","Parque Municipal Existente",267713.94,"Urbano"
40,"COLONIAL","Parque Municipal Proposto: em Planejamento",190226.11,"Linear"
41,"CAGUACU (PARQUE DAS FLORES)","Parque Municipal Proposto: em Planejamento",8286.39,"Linear"
42,"EXPANSAO NASCENTES DO ARICANDUVA","Parque Municipal Proposto: em Planejamento",1155537.44,"Linear"
43,"JARDIM DAS LARANJEIRAS","Parque Municipal Proposto: em Planejamento",289347.28,"Linear"
44,"LINEAR LIMOEIRO FASE 2","Parque Municipal Proposto: em Planejamento",330628.18,"Linear"
45,"MORRO DO CRUZEIRO FASE 1 A","Parque Municipal Proposto: em Planejamento",7267.92,"Urbano"
46,"MORRO DO CRUZEIRO FASE 1 B","Parque Municipal Proposto: em Planejamento",6222.14,"Urbano"
