"av_id";"area_pq_m2";"veg2";"veg3";"veg5";"veg1";"av_id.N.10.0";"riqueza";"area_veg";"shannon";"cob_vegetacao";"areapa_scale";"cob_scale";"area_pq_km2"
1;136493,08351;0;0;0;0;1;128;0;0;0;0,0808820557627491;0;136,49308351
2;6656,3014;0;0;0;0;2;29;0;0;0;-0,464124998447206;0;6,6563014
3;131517,35244;0;0;0;0;3;107;0;0;0;0,0599957669243199;0;131,51735244
4;44000,38324;0;0;0;0;4;80;0;0;0;-0,307368278933389;0;44,00038324
5;23669,19173;0;0;0;0;NA;NA;0;0;0;-0,392711142591669;0;23,66919173
6;9939,23363;0;0;0;0;NA;NA;0;0;0;-0,450344456487013;0;9,93923363
7;1202665,83964;3498,31086;11305,34096;39719,82996;0;7;225;54523,48178;0,733214409110205;4,53355204603806;4,55628312204169;0,214563947495193;1202,66583964
9;6106,73795;0;0;0;0;9;30;0;0;0;-0,466431863667666;0;6,10673795
11;24513,15264;0;0;0;0;11;30;0;0;0;-0,389168505120588;0;24,51315264
12;185229,45501;0;0;0;0;12;120;0;0;0;0,285459416911406;0;185,22945501
13;20608,47237;0;0;0;0;13;1;0;0;0;-0,405558916658833;0;20,60847237
14;20745,66988;0;0;0;0;14;50;0;0;0;-0,404983011976394;0;20,74566988
15;46341,98694;0;0;0;0;15;126;0;0;0;-0,297539087898887;0;46,34198694
16;17079,76859;0;0;0;0;16;15;0;0;0;-0,420371117185245;0;17,07976859
17;73390,37891;0;0;0;0;NA;NA;0;0;0;-0,183999887457239;0;73,39037891
18;1476997,68629;127332,6596;28531,49908;0;0;18;198;155864,15868;0,475992392427607;10,5527693189221;5,70782730843429;0,33085339987947;1476,99768629
20;123361,88071;0;0;0;0;20;97;0;0;0;0,0257620963802197;0;123,36188071
21;23064,77063;0;0;0;0;21;34;0;0;0;-0,395248280048867;0;23,06477063
22;270071,03631;0;0;0;0;22;65;0;0;0;0,641593168436862;0;270,07103631
23;40064,05607;0;0;0;0;23;30;0;0;0;-0,323891532517344;0;40,06405607
24;145738,81556;0;0;0;0;24;108;0;0;0;0,11969223810627;0;145,73881556
25;61790,0876;0;0;0;0;25;31;0;0;0;-0,232693643510775;0;61,7900876
26;6602,8327;0;0;0;0;26;13;0;0;0;-0,464349440382733;0;6,6028327
27;120891,37896;0;0;3379,18112;0;27;125;3379,18112;0;2,7952209239983;0,0153918387436179;0,167977989791103;120,89137896
