av_id,pq_nome,area_pq_m2,area_veg,shannon,n_classes,cob_vegetacao,areapa_scale,cob_scale,area_pq_km2,riqueza,AGUA_pq_m2,BVM_sum,BV_M2
1,Aclimacao,136493.0835,99809.25726,0.16942452,2,73.1240402,0.080882056,1.025793754,136.4930835,91,30487.12267,4081017.275,5.35796
2,Aguas,6656.3014,57329.07562,0.107727169,3,100,-0.464124998,1.570796327,6.6563014,30,89.22924,1980770.679,2.60072
3,Alfredo Volpi,131517.3524,130844.5947,0.166936579,3,99.48846464,0.059995767,1.499213509,131.5173524,89,2381.28963,1796361.849,2.2819
4,Alto Da Boa Vista,44000.38324,43652.26851,0.790190461,3,99.20883705,-0.307368279,1.48173128,44.00038324,61,0,1241380.603,1.90503
5,Altos Da Baronesa,23669.19173,23187.63877,0.744365302,3,97.96548625,-0.392711143,1.427671803,23.66919173,26,658.80407,444797.7304,0.99598
7,Anhanguera,1202665.84,9188602.326,0.714058927,11,100,4.556283122,1.570796327,1202.66584,207,4940.79245,1875096.49,0.32552
9,Aricanduva - Viaduto Badra,6106.73795,36709.49428,0.625223962,3,100,-0.466431864,1.570796327,6.10673795,12,6591.71385,3131777.427,3.3481
11,Augusta - Prefeito Bruno Covas,24513.15264,19485.9868,0.659823884,3,79.49196534,-0.389168505,1.100828079,24.51315264,21,0,4481934.816,9.50274
12,Barragem De Guarapiranga,185229.455,119059.0609,0.544475733,3,64.2765271,0.285459417,0.930178149,185.229455,61,106279.2933,1919511.714,1.74022
13,Benemerito Jose Bras,20608.47237,13019.91294,1.041081778,3,63.17747723,-0.405558917,0.918748163,20.60847237,1,0,3505035.012,6.91472
14,Buenos Aires,20745.66988,19776.715,0,1,95.32936326,-0.404983012,1.352961056,20.74566988,58,0,5902661.469,12.36816
15,Burle Marx,46341.98694,174399.3813,0.150000908,3,100,-0.297539088,1.570796327,46.34198694,117,1210.98365,3949393.374,2.90999
16,Campo Cerrado - Dr. Alfred Usteri,17079.76859,14313.70688,0,1,83.80503989,-0.420371117,1.156627007,17.07976859,16,0,2231607.617,3.90826
17,Cantinho Do Ceu,73390.37891,50847.25623,1.217049883,4,69.28327253,-0.183999887,0.983362644,73.39037891,44,38787.57197,2078567.426,2.12855
18,Carmo - Olavo Egidio Setubal,1476997.686,1337058.883,1.631312375,10,90.52545551,5.707827308,1.257908558,1476.997686,157,68658.17003,2371728.445,1.59686
20,Castelo,123361.8807,101689.0161,0.838292462,4,82.43147355,0.025762096,1.138289334,123.3618807,122,85270.25727,1005246.859,1.30206
21,Central Do Itaim Paulista,23064.77063,21581.72435,0,1,93.57008009,-0.39524828,1.314424262,23.06477063,35,18.06048,1672806.537,3.42355
22,"Centro Educativo, Recreativo E Esportivo Do Trabalhador - Ceret",270071.0363,208061.4205,1.001474341,3,77.03951648,0.641593168,1.071086363,270.0710363,61,0,5316158.624,5.5312
23,Chacara Das Flores,40064.05607,36752.16793,0.005529124,2,91.73351761,-0.323891533,1.279165148,40.06405607,33,1027.49498,1731263.964,3.20965
24,Chacara Do Jockey,145738.8156,100561.1351,0.52336228,3,69.00092792,0.119692238,0.980306343,145.7388156,63,3409.49614,2334200.615,3.09268
25,Chico Mendes,61790.0876,58058.98395,0,1,93.96164693,-0.232693644,1.32252299,61.7900876,56,800.18949,1829049.554,2.95471
26,Chuvisco - Paulo Nogueira Neto,6602.8327,13400.10084,0.883912728,3,100,-0.46434944,1.570796327,6.6028327,14,0,1689424.489,3.30239
27,Cidade De Toronto,120891.379,70730.26737,1.115352446,6,58.50728809,0.015391839,0.870886956,120.891379,132,41622.56555,1460091.862,1.74086
28,Ciencia,180175.732,170024.7527,0.840033628,5,94.3660674,0.264245747,1.33115001,180.175732,33,0,2813262.136,2.49935
29,Colina De Sao Francisco,48077.35688,47207.25692,0.308646665,4,98.19020841,-0.290254643,1.435858711,48.07735688,22,0,1759643.895,2.69424
30,Consciencia Negra,118530.6183,109770.5857,0.789026221,4,92.60947697,0.005482234,1.295476051,118.5306183,94,0,1106345.431,1.2755
31,Cordeiro - Martin Luther King,20878.66119,30136.49879,0,1,100,-0.404424763,1.570796327,20.87866119,26,0,1381047.89,2.42608
32,Corrego Agua Vermelha,95442.08325,75723.56641,0.435354284,2,79.33980885,-0.091434944,1.098946418,95.44208325,18,3926.46189,3027226.152,3.10368
34,Corrego Do Bananal-Canivete,49666.47343,32160.18429,0.355277282,3,64.75230084,-0.283584116,0.935150003,49.66647343,57,2703.97469,2217865.751,2.17062
35,Corrego Rapadura,763.74207,15052.58537,0,1,100,-0.488859795,1.570796327,0.76374207,20,843.13214,2839066.513,4.10761
36,Ermelino Matarazzo - Dom Paulo Evaristo Arns,5557.4274,4241.72204,0,1,76.32528029,-0.468737667,1.062640707,5.5574274,21,0,1360643.138,3.61673
37,Eucaliptos,17616.19885,17191.972,0,1,97.59183662,-0.41811938,1.414984055,17.61619885,32,0,1264266.744,2.78731
38,Feitico Da Vila,11703.18743,31744.458,0.529086081,3,100,-0.442940027,1.570796327,11.70318743,34,168.33606,2696599.652,3.34382
40,Guabirobeira Mombaca,267311.97,251336.0095,1.436472352,6,94.02347732,0.630011623,1.323824004,267.31197,39,681.37495,1635185.113,1.67762
41,Guanhembu - Benedicta Ramos Caruso,27446.71824,53273.08542,0.314871568,2,100,-0.376854476,1.570796327,27.44671824,42,0,2450095.001,3.45979
42,Guarapiranga,141502.8727,135593.6001,0.328270346,2,95.82392042,0.101911308,1.364991995,141.5028727,68,3096.10355,1638085.678,1.98327
43,Guaratiba,21089.69695,12543.04222,0.324383527,3,59.47473901,-0.403538913,0.880721953,21.08969695,32,108.43771,1508428.357,2.71464
44,Ibirapuera,1241857.366,888989.8521,0.225214212,3,71.58550383,4.720794733,1.008592046,1241.857366,223,147784.3937,5379904.069,2.98955
45,Independencia,90847.21317,131902.8898,0.78852974,3,100,-0.110722518,1.570796327,90.84721317,79,2259.17839,4800263.253,4.51285
46,Ipiranguinha,381.42663,14028.36978,0.665418093,2,100,-0.490464615,1.570796327,0.38142663,14,0,2551713.88,3.99809
48,Jacintho Alberto,34894.02516,28639.99455,0.076180597,2,82.07707313,-0.345593421,1.133651203,34.89402516,42,0,1529852.482,2.37401
49,Jardim Da Conquista,87419.95173,188333.7017,1.307018746,5,100,-0.125108901,1.570796327,87.41995173,43,0,3104275.499,2.53028
50,Jardim Da Luz,76885.62347,69349.73009,0,1,90.19856634,-0.169328136,1.25236997,76.88562347,86,2359.83647,4351740.414,6.88451
52,Jardim Felicidade,26400.32983,22613.59436,0,1,85.65648424,-0.381246829,1.182374427,26.40032983,54,937.80906,1758808.009,3.06365
53,Jardim Herculano,75448.33952,74178.27048,0.372696854,3,98.31663752,-0.175361326,1.44068507,75.44833952,64,0,1049633.099,1.49716
54,Jardim Prainha,21673.57392,81904.9189,0.788500535,4,100,-0.401088012,1.570796327,21.67357392,48,12125.19664,689804.3561,0.95811
55,Jardim Sapopemba - Maria De Fatima Diniz Carrera,48417.58376,37085.7988,0.43465286,3,76.59572395,-0.288826496,1.065828068,48.41758376,24,0,2936435.484,3.61944
56,Juliana De Carvalho Torres - Cohab Raposo Tavares,15141.43935,12993.99871,0.012966354,2,85.81746035,-0.42850751,1.184676098,15.14143935,79,0,911798.2454,1.48283
57,Lajeado - Izaura Pereira De Souza Franzolin,14168.31797,13763.89782,0,1,97.14560225,-0.432592316,1.401032445,14.16831797,34,0,1447798.489,3.34452
58,Leopoldina - Orlando Villas-Boas,69154.57512,59829.03117,0.172541997,2,86.51492843,-0.201780234,1.194777618,69.15457512,28,5483.49254,965488.938,1.47225
59,Lina E Paulo Raia,15564.42471,13737.98326,0,1,88.26528134,-0.426731973,1.221156172,15.56442471,43,0,2664567.211,5.88271
60,Lions Clube Tucuruvi,21101.60723,16753.18844,0,1,79.39294982,-0.403488918,1.099603007,21.10160723,26,0,837016.7442,1.79153
61,Luiz Carlos Prestes,26105.47224,28089.18346,0,1,100,-0.382484533,1.570796327,26.10547224,46,0,1222014.749,2.46398
63,Mboi Mirim,191885.3485,188403.1354,0.663770858,4,98.18526368,0.31339841,1.435673369,191.8853485,59,3821.48084,1102326.881,1.23805
64,Mongagua - Francisco Menegolo,15289.22217,36524.39716,0.645016443,3,100,-0.427887172,1.570796327,15.28922217,12,3865.73257,4440350.866,3.4387
65,Morumbi,15303.98212,15299.3849,0,1,99.96996063,-0.427825216,1.553463589,15.30398212,21,0,908254.1919,2.12172
66,Nabuco,30465.65781,29214.82446,0,1,95.89428412,-0.364182078,1.366757865,30.46565781,34,0,1765397.606,3.46874
